[I 2025-11-15 11:57:26,756] Trial 20 finished with value: 0.33280431509017944 and parameters: {'lr': 0.004766340680465689, 'momentum': 0.8538415632026684, 'weight_decay': 2.8884657771244268e-05, 'step_size': 4, 'gamma': 0.20384195263008265, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 11:58:32,318] Trial 21 finished with value: 0.31188435763120653 and parameters: {'lr': 0.005721960287727505, 'momentum': 0.8464566746262217, 'weight_decay': 5.658794718559286e-05, 'step_size': 4, 'gamma': 0.27727105979604877, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 11:59:36,901] Trial 22 finished with value: 0.30296196818351745 and parameters: {'lr': 0.009676090830176684, 'momentum': 0.8682171761606992, 'weight_decay': 5.6369851858203147e-05, 'step_size': 4, 'gamma': 0.28029355467144634, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:00:41,670] Trial 23 finished with value: 0.30530316025018694 and parameters: {'lr': 0.005776304927166265, 'momentum': 0.866749134371421, 'weight_decay': 6.958861707393446e-05, 'step_size': 4, 'gamma': 0.280175225266159, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:01:46,381] Trial 24 finished with value: 0.32122601568698883 and parameters: {'lr': 0.006790482702487139, 'momentum': 0.8671453482686815, 'weight_decay': 0.00014752382182443656, 'step_size': 3, 'gamma': 0.28013941147628274, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:02:51,595] Trial 25 finished with value: 0.32573050558567046 and parameters: {'lr': 0.004833031970861079, 'momentum': 0.8754971060692758, 'weight_decay': 7.251007963434625e-05, 'step_size': 4, 'gamma': 0.2566594127775163, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:03:56,622] Trial 26 finished with value: 0.37172048836946486 and parameters: {'lr': 0.0011914667648712386, 'momentum': 0.8648663900900004, 'weight_decay': 0.00015770330858234176, 'step_size': 5, 'gamma': 0.20587731621514146, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:05:02,797] Trial 27 finished with value: 0.3223708537220955 and parameters: {'lr': 0.007433112453709613, 'momentum': 0.8849513219429478, 'weight_decay': 4.9825946357986826e-05, 'step_size': 4, 'gamma': 0.2827981119745702, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:06:07,470] Trial 28 finished with value: 0.3812671783566475 and parameters: {'lr': 0.00011506572210127092, 'momentum': 0.879025222485481, 'weight_decay': 8.331057839076008e-05, 'step_size': 3, 'gamma': 0.1680294014050976, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:07:12,570] Trial 29 finished with value: 0.34679144144058227 and parameters: {'lr': 0.0006809905816239422, 'momentum': 0.8707346037269249, 'weight_decay': 0.0003279830497037554, 'step_size': 5, 'gamma': 0.24477740103621287, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:08:17,263] Trial 30 finished with value: 0.34475778073072433 and parameters: {'lr': 0.00246591439387137, 'momentum': 0.8599935579906544, 'weight_decay': 2.0069960599563395e-05, 'step_size': 5, 'gamma': 0.26297627318149674, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:09:22,190] Trial 31 finished with value: 0.33372383803129196 and parameters: {'lr': 0.005663439985237993, 'momentum': 0.8517444127559548, 'weight_decay': 5.665686259962453e-05, 'step_size': 4, 'gamma': 0.2757504343963567, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:10:26,981] Trial 32 finished with value: 0.33342440515756605 and parameters: {'lr': 0.004180168166007379, 'momentum': 0.8119043358366963, 'weight_decay': 5.711663117369105e-05, 'step_size': 4, 'gamma': 0.28561819163766056, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:11:31,704] Trial 33 finished with value: 0.3262620252370834 and parameters: {'lr': 0.009787235549921298, 'momentum': 0.819756668797407, 'weight_decay': 3.856611179312085e-05, 'step_size': 4, 'gamma': 0.2457356164610913, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:12:36,562] Trial 34 finished with value: 0.33603118449449537 and parameters: {'lr': 0.006092033972417583, 'momentum': 0.8330457255617246, 'weight_decay': 8.562720073442772e-05, 'step_size': 4, 'gamma': 0.27048518443113856, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:13:41,638] Trial 35 finished with value: 0.34070562541484833 and parameters: {'lr': 0.004719222276420755, 'momentum': 0.8037324113446342, 'weight_decay': 3.357804893118716e-05, 'step_size': 3, 'gamma': 0.253108620142061, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:14:42,230] Trial 36 finished with value: 0.33731738993754756 and parameters: {'lr': 0.007770420843463317, 'momentum': 0.845017195080008, 'weight_decay': 1.1078005407129266e-05, 'step_size': 4, 'gamma': 0.2901269451788417, 'batch_size': 8}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:15:47,053] Trial 37 finished with value: 0.35120370119810107 and parameters: {'lr': 0.0022188780187245923, 'momentum': 0.8650519022305946, 'weight_decay': 0.00013241781385740504, 'step_size': 5, 'gamma': 0.26351933013654477, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:16:51,982] Trial 38 finished with value: 0.3396899938583374 and parameters: {'lr': 0.005825944546071134, 'momentum': 0.8840052919015161, 'weight_decay': 6.048269759202319e-05, 'step_size': 4, 'gamma': 0.10833319261175268, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:17:56,626] Trial 39 finished with value: 0.37785498082637786 and parameters: {'lr': 0.0005836317811903697, 'momentum': 0.8558297559888649, 'weight_decay': 4.693707025592002e-05, 'step_size': 3, 'gamma': 0.14376670874422035, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:18:57,261] Trial 40 finished with value: 0.3405461380114922 and parameters: {'lr': 0.0037481737352702384, 'momentum': 0.8706891018601232, 'weight_decay': 0.0002263584679535116, 'step_size': 4, 'gamma': 0.22887819865235284, 'batch_size': 8}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:20:02,756] Trial 41 finished with value: 0.3282757556438446 and parameters: {'lr': 0.00994705218476336, 'momentum': 0.8477405412770244, 'weight_decay': 2.2832067928157217e-05, 'step_size': 4, 'gamma': 0.23663327021228986, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:21:08,080] Trial 42 finished with value: 0.3093190380930901 and parameters: {'lr': 0.007753518169046464, 'momentum': 0.8290126740516494, 'weight_decay': 3.2442915385029345e-05, 'step_size': 4, 'gamma': 0.22568979842457068, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:22:13,568] Trial 43 finished with value: 0.3143745669722557 and parameters: {'lr': 0.007759636411665717, 'momentum': 0.8274793930109265, 'weight_decay': 1.5338664976610358e-05, 'step_size': 4, 'gamma': 0.1894234843320431, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:23:15,634] Trial 44 finished with value: 0.35796512246131895 and parameters: {'lr': 0.005512354166661476, 'momentum': 0.8310705196261973, 'weight_decay': 3.092576921695416e-05, 'step_size': 4, 'gamma': 0.2182269663874284, 'batch_size': 4}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:24:20,444] Trial 45 finished with value: 0.31337916880846023 and parameters: {'lr': 0.007318498064502266, 'momentum': 0.8162489073850717, 'weight_decay': 3.723774972018854e-05, 'step_size': 4, 'gamma': 0.21088440728318222, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:25:21,632] Trial 46 finished with value: 0.3972920706638923 and parameters: {'lr': 0.00029597814750157933, 'momentum': 0.8400329080991196, 'weight_decay': 7.713630641307108e-05, 'step_size': 2, 'gamma': 0.2694412000135392, 'batch_size': 8}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:26:28,251] Trial 47 finished with value: 0.328921420276165 and parameters: {'lr': 0.00640312807591808, 'momentum': 0.8282655285349306, 'weight_decay': 0.00010209669181829114, 'step_size': 3, 'gamma': 0.29094119699014764, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:27:32,200] Trial 48 finished with value: 0.31447654604911807 and parameters: {'lr': 0.00410372846277283, 'momentum': 0.8928237825778402, 'weight_decay': 4.9297048111493955e-05, 'step_size': 5, 'gamma': 0.17395107454979175, 'batch_size': 4}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:28:38,789] Trial 49 finished with value: 0.31885343611240385 and parameters: {'lr': 0.007900012015447428, 'momentum': 0.8590124436552166, 'weight_decay': 1.4112607053491024e-05, 'step_size': 4, 'gamma': 0.2511489500361395, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:29:43,632] Trial 50 finished with value: 0.33057670563459396 and parameters: {'lr': 0.0020786026345505945, 'momentum': 0.8361108756051947, 'weight_decay': 2.0800577298148526e-05, 'step_size': 4, 'gamma': 0.19270962116513804, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:30:48,316] Trial 51 finished with value: 0.33358335196971894 and parameters: {'lr': 0.002938096208836631, 'momentum': 0.8245163374038287, 'weight_decay': 3.669659917257241e-05, 'step_size': 4, 'gamma': 0.2064967001707372, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:31:52,998] Trial 52 finished with value: 0.3277385890483856 and parameters: {'lr': 0.008371697613183524, 'momentum': 0.8077298811716418, 'weight_decay': 3.7670226570656676e-05, 'step_size': 4, 'gamma': 0.21538506520855968, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:32:57,704] Trial 53 finished with value: 0.3303711462020874 and parameters: {'lr': 0.0066402594222340315, 'momentum': 0.8167614324628338, 'weight_decay': 6.842070031214672e-05, 'step_size': 4, 'gamma': 0.22374618541335167, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:34:03,768] Trial 54 finished with value: 0.33807998538017275 and parameters: {'lr': 0.004955134532308536, 'momentum': 0.8151609624663344, 'weight_decay': 5.603433403730337e-05, 'step_size': 4, 'gamma': 0.2110963909887661, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:35:10,037] Trial 55 finished with value: 0.3476902276277542 and parameters: {'lr': 0.00814203914609972, 'momentum': 0.8095213703200406, 'weight_decay': 2.6665274517541948e-05, 'step_size': 4, 'gamma': 0.1965576926921767, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:36:13,438] Trial 56 finished with value: 0.37265292525291444 and parameters: {'lr': 0.0034396083089451974, 'momentum': 0.8427647055942739, 'weight_decay': 4.101476817729604e-05, 'step_size': 4, 'gamma': 0.23663199941890298, 'batch_size': 4}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:37:15,473] Trial 57 finished with value: 0.3646139227426969 and parameters: {'lr': 0.00653143148957502, 'momentum': 0.819480536222814, 'weight_decay': 8.383492303098382e-05, 'step_size': 4, 'gamma': 0.2255476964620346, 'batch_size': 8}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:38:21,375] Trial 58 finished with value: 0.36601493895053866 and parameters: {'lr': 0.0009790470622988373, 'momentum': 0.825049938154811, 'weight_decay': 3.245325447728167e-05, 'step_size': 3, 'gamma': 0.18418036293125006, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:39:27,608] Trial 59 finished with value: 0.3278675752878189 and parameters: {'lr': 0.0044409906508761955, 'momentum': 0.8076425762400654, 'weight_decay': 4.5192551597202955e-05, 'step_size': 5, 'gamma': 0.12276578870210078, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:40:32,925] Trial 60 finished with value: 0.2999225750565529 and parameters: {'lr': 0.00882547248555773, 'momentum': 0.81613375051887, 'weight_decay': 0.0006013546928360605, 'step_size': 4, 'gamma': 0.2929667267082215, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
[I 2025-11-15 12:41:37,683] Trial 61 finished with value: 0.3218978101015091 and parameters: {'lr': 0.00848744648537367, 'momentum': 0.8157515573435882, 'weight_decay': 0.0008439098200082359, 'step_size': 4, 'gamma': 0.29819871552178945, 'batch_size': 2}. Best is trial 14 with value: 0.29629021406173706.
